#EXPORTTYPE:                 ,DATA ALL                                                                    
#FILE:                       ,dealloy_Al_12072023_MACT_A_pink_label_20Kmin_20O2_80Ar_1200C_round_1.ngb-ds3
#FORMAT:                     ,NETZSCH5                                                                    
#FTYPE:                      ,ANSI                                                                        
#IDENTITY:                   ,DeAl_MACTA_pk_r1                                                            
#DECIMAL:                    ,POINT                                                                       
#SEPARATOR:                  ,COMMA                                                                       
#MTYPE:                      ,DSC                                                                         
#INSTRUMENT:                 ,NETZSCH STA 449F3                                                           
#PROJECT:                    ,nano-Al                                                                     
#DATE/TIME:                  ,12/7/2023 2:29:46 PM (UTC-5)                                                
#CORR. FILE:                 ,BL_11012023_20Kmin_1200C_10O2_40Ar.ngb-bs3                                  
#TEMPCAL:                    ,03-05-2023 11:25                                                            
#SENSITIVITY:                ,03-05-2023 11:53                                                            
#LABORATORY:                 ,calorimetry lab                                                             
#OPERATOR:                   ,YP                                                                          
#REMARK:                     ,DeAlloyed_Al_MACTA-pink_label_run1_20O2_80Ar_1200C_20Cmin                   
#SAMPLE:                     ,DeAl_MACTA_pk_r1                                                            
#SAMPLE MASS /mg:            ,5.0124                                                                      
#MATERIAL:                   ,mt                                                                          
#REFERENCE:                  ,empty                                                                       
#REFERENCE MASS /mg:         ,0                                                                           
#TYPE OF CRUCIBLE:           ,Al2O3 85 µl, with lid                                                       
#SAMPLE CRUCIBLE MASS /mg:   ,0                                                                           
#REFERENCE CRUCIBLE MASS /mg:,0                                                                           
#DSC RANGE /µV:              ,5000                                                                        
#TG RANGE /mg:               ,35000                                                                       
#TAU-R:                      ,---                                                                         
#CORR. CODE:                 ,020                                                                         
#EXO:                        ,+1                                                                          
#RANGE:                      ,50°C/20.0(K/min)/1200°C                                                     
#SEGMENT:                    ,S3/3                                                                        
#SEG. 3:                     ,50°C/20.0(K/min)/1200°C                                                     

##Temp./°C,Time/min,DSC/(mW/mg),Mass/%,Sensit./(uV/mW)
  49.64500,36.01250,-2.814625e-02, 98.79319,0.73547
  49.64200,36.02583,-2.835328e-02, 98.79319,0.73546
  49.65800,36.03917,-2.814594e-02, 98.77324,0.73547
  49.66400,36.05250,-2.711103e-02, 98.76666,0.73548
  49.64200,36.06583,-2.669762e-02, 98.76666,0.73546
  49.65300,36.07917,-2.504172e-02, 98.76008,0.73547
  49.65100,36.09250,-2.524872e-02, 98.74012,0.73547
  49.64900,36.10583,-2.504180e-02, 98.74012,0.73547
  49.65100,36.11917,-2.380002e-02, 98.74012,0.73547
  49.64800,36.13250,-2.504182e-02, 98.74012,0.73547
  49.66600,36.14583,-2.214408e-02, 98.74012,0.73548
  49.65700,36.15917,-2.359294e-02, 98.74012,0.73547
  49.66700,36.17250,-2.255797e-02, 98.75349,0.73548
  49.66700,36.18583,-2.483447e-02, 98.76666,0.73548
  49.66300,36.19917,-2.483455e-02, 98.76666,0.73548
  49.67400,36.21250,-2.483432e-02, 98.76666,0.73548
  49.67900,36.22583,-2.421336e-02, 98.76666,0.73549
  49.69400,36.23917,-2.069491e-02, 98.76666,0.73550
  49.68700,36.25250,-2.048809e-02, 98.76666,0.73549
  49.69000,36.26583,-1.986718e-02, 98.76666,0.73549
  49.69000,36.27917,-1.779769e-02, 98.76666,0.73549
  49.70800,36.29250,-1.862520e-02, 98.76666,0.73551
  49.71100,36.30583,-1.738348e-02, 98.75329,0.73551
  49.72200,36.31917,-1.510693e-02, 98.74012,0.73551
  49.73500,36.33250,-1.779701e-02, 98.72696,0.73552
  49.73900,36.34583,-1.448589e-02, 98.73574,0.73552
  49.74100,36.35917,-1.345116e-02, 98.75549,0.73553
  49.74400,36.37250,-1.365806e-02, 98.76666,0.73553
  49.76900,36.38583,-1.034680e-02, 98.79978,0.73554
  49.77600,36.39917,-1.138141e-02, 98.82392,0.73555
  49.79500,36.41250,-9.104982e-03, 98.82412,0.73556
  49.80000,36.42583,-5.794055e-03, 98.84387,0.73556
  49.80500,36.43917,-4.759382e-03, 98.81294,0.73557
  49.81900,36.45250,-2.276199e-03, 98.78422,0.73557
  49.84500,36.46583, 2.689994e-03, 98.74910,0.73559
  49.84500,36.47917, 0.000000e+00, 98.71140,0.73559
  49.86700,36.49250, 4.138375e-04, 98.72696,0.73560
  49.89500,36.50583, 4.552105e-03, 98.73354,0.73562
  49.89500,36.51917, 8.276555e-03, 98.76885,0.73562
  49.91200,36.53250, 1.427685e-02, 98.77763,0.73563
  49.92900,36.54583, 1.903553e-02, 98.77324,0.73564
  49.95000,36.55917, 2.193185e-02, 98.80197,0.73566
  49.97400,36.57250, 1.944860e-02, 98.79758,0.73567
  50.00000,36.58583, 2.234471e-02, 98.79299,0.73569
  50.02400,36.59917, 2.896478e-02, 98.79539,0.73570
  50.04100,36.61250, 3.289524e-02, 98.79539,0.73571
  50.06000,36.62583, 3.351536e-02, 98.77763,0.73572
  50.08100,36.63917, 3.496294e-02, 98.81733,0.73574
  50.11500,36.65250, 3.599631e-02, 98.81075,0.73576
  50.13700,36.66583, 4.302927e-02, 98.82611,0.73577
  50.18500,36.67917, 4.530302e-02, 98.82611,0.73580
  50.20500,36.69250, 5.047374e-02, 98.83509,0.73582
  50.22600,36.70583, 5.398940e-02, 98.82831,0.73583
  50.26500,36.71917, 5.646981e-02, 98.84606,0.73585
  50.29400,36.73250, 6.081215e-02, 98.84387,0.73587
  50.33800,36.74583, 6.267142e-02, 98.82831,0.73590
  50.36100,36.75917, 6.887518e-02, 98.81953,0.73591
  50.39300,36.77250, 7.073476e-02, 98.80417,0.73593
  50.41900,36.78583, 7.238779e-02, 98.79080,0.73595
  50.45900,36.79917, 7.714210e-02, 98.79080,0.73597
  50.51200,36.81250, 8.458367e-02, 98.77105,0.73601
  50.55100,36.82583, 8.851008e-02, 98.76446,0.73603
  50.58500,36.83917, 9.719286e-02, 98.76885,0.73605
  50.63000,36.85250,      0.10277, 98.78202,0.73608
  50.67700,36.86583,      0.10711, 98.76666,0.73611
  50.72500,36.87917,      0.11000, 98.75788,0.73614
  50.77000,36.89250,      0.11744, 98.77105,0.73617
  50.82500,36.90583,      0.12095, 98.77763,0.73620
  50.88100,36.91917,      0.12715, 98.78202,0.73623
  50.92900,36.93250,      0.12797, 98.79539,0.73626
  50.96500,36.94583,      0.13107, 98.81733,0.73629
  51.01800,36.95917,      0.14264, 98.81733,0.73632
  51.07200,36.97250,      0.14842, 98.79978,0.73635
  51.13800,36.98583,      0.15275, 98.78641,0.73639
  51.19400,36.99917,      0.15998, 98.76207,0.73643
  51.25800,37.01250,      0.15893, 98.75549,0.73647
  51.29300,37.02583,      0.16596, 98.76227,0.73649
  51.37900,37.03917,      0.17132, 98.77324,0.73654
  51.42700,37.05250,      0.17710, 98.77983,0.73657
  51.49500,37.06583,      0.18783, 98.78661,0.73661
  51.54700,37.07917,      0.19092, 98.79080,0.73664
  51.62000,37.09250,      0.19649, 98.76885,0.73669
  51.68700,37.10583,      0.20247, 98.76008,0.73673
  51.74100,37.11917,      0.20535, 98.74910,0.73676
  51.83200,37.13250,      0.21525, 98.76446,0.73682
  51.88500,37.14583,      0.22000, 98.75788,0.73685
  51.96100,37.15917,      0.22597, 98.76885,0.73690
  52.03200,37.17250,      0.23649, 98.77544,0.73694
  52.09700,37.18583,      0.24082, 98.78003,0.73698
  52.17000,37.19917,      0.24927, 98.76666,0.73703
  52.25100,37.21250,      0.25648, 98.78202,0.73708
  52.32700,37.22583,      0.26101, 98.78860,0.73712
  52.40600,37.23917,      0.26656, 98.80417,0.73717
  52.49500,37.25250,      0.27150, 98.79978,0.73722
  52.56100,37.26583,      0.28160, 98.79758,0.73726
  52.63500,37.27917,      0.28881, 98.81075,0.73731
  52.72500,37.29250,      0.29477, 98.86382,0.73736
  52.81100,37.30583,      0.29971, 98.87040,0.73742
  52.89300,37.31917,      0.30939, 98.84826,0.73747
  52.98400,37.33250,      0.31556, 98.81075,0.73752
  53.08100,37.34583,      0.32110, 98.75569,0.73758
  53.17700,37.35917,      0.32727, 98.70920,0.73764
  53.26300,37.37250,      0.33302, 98.68945,0.73769
  53.35100,37.38583,      0.34104, 98.69603,0.73774
  53.44700,37.39917,      0.34783, 98.71379,0.73780
  53.53400,37.41250,      0.35605, 98.73135,0.73785
  53.63500,37.42583,      0.36448, 98.72915,0.73792
  53.73000,37.43917,      0.37167, 98.75110,0.73797
  53.83500,37.45250,      0.38051, 98.75130,0.73804
  53.94100,37.46583,      0.38810, 98.74471,0.73810
  54.03300,37.47917,      0.39282, 98.75549,0.73816
  54.13200,37.49250,      0.39856, 98.74252,0.73822
  54.23700,37.50583,      0.40347, 98.74890,0.73828
  54.33600,37.51917,      0.41169, 98.75349,0.73834
  54.45300,37.53250,      0.42051, 98.74471,0.73841
  54.54200,37.54583,      0.42687, 98.75549,0.73846
  54.65000,37.55917,      0.42951, 98.75788,0.73853
  54.77900,37.57250,      0.43895, 98.76666,0.73860
  54.88300,37.58583,      0.44448, 98.78441,0.73866
  54.98700,37.59917,      0.45186, 98.77105,0.73873
  55.10600,37.61250,      0.45985, 98.77105,0.73880
  55.21800,37.62583,      0.47072, 98.77105,0.73886
  55.32700,37.63917,      0.47377, 98.76885,0.73893
  55.44100,37.65250,      0.47641, 98.79299,0.73900
  55.55100,37.66583,      0.48584, 98.81294,0.73906
  55.66500,37.67917,      0.49238, 98.81953,0.73913
  55.78900,37.69250,      0.50057, 98.85723,0.73920
