#EXPORTTYPE:                 ,DATA ALL                                                                    
#FILE:                       ,dealloy_Al_12122023_MACT_A_pink_label_20Kmin_20O2_80Ar_1200C_round_2.ngb-ds3
#FORMAT:                     ,NETZSCH5                                                                    
#FTYPE:                      ,ANSI                                                                        
#IDENTITY:                   ,De_alloy_MACT_pk_R2                                                         
#DECIMAL:                    ,POINT                                                                       
#SEPARATOR:                  ,COMMA                                                                       
#MTYPE:                      ,DSC                                                                         
#INSTRUMENT:                 ,NETZSCH STA 449F3                                                           
#PROJECT:                    ,nano-Al                                                                     
#DATE/TIME:                  ,12/12/2023 3:12:41 PM (UTC-5)                                               
#CORR. FILE:                 ,BL_11012023_20Kmin_1200C_10O2_40Ar.ngb-bs3                                  
#TEMPCAL:                    ,03-05-2023 11:25                                                            
#SENSITIVITY:                ,03-05-2023 11:53                                                            
#LABORATORY:                 ,calorimetry lab                                                             
#OPERATOR:                   ,YP                                                                          
#REMARK:                     ,dealloy_Al_12122023_MACT_A_pink_label_20Kmin_20O2_80Ar_1200C_round_2        
#SAMPLE:                     ,De_alloy_MACT_pk_R2                                                         
#SAMPLE MASS /mg:            ,5.3231                                                                      
#MATERIAL:                   ,mt                                                                          
#REFERENCE:                  ,empty                                                                       
#REFERENCE MASS /mg:         ,0                                                                           
#TYPE OF CRUCIBLE:           ,Al2O3 85 µl, with lid                                                       
#SAMPLE CRUCIBLE MASS /mg:   ,0                                                                           
#REFERENCE CRUCIBLE MASS /mg:,0                                                                           
#DSC RANGE /µV:              ,5000                                                                        
#TG RANGE /mg:               ,35000                                                                       
#TAU-R:                      ,---                                                                         
#CORR. CODE:                 ,020                                                                         
#EXO:                        ,+1                                                                          
#RANGE:                      ,50°C/20.0(K/min)/1200°C                                                     
#SEGMENT:                    ,S3/3                                                                        
#SEG. 3:                     ,50°C/20.0(K/min)/1200°C                                                     

##Temp./°C,Time/min,DSC/(mW/mg),Mass/%,Sensit./(uV/mW)
  49.66200,36.01333,-7.600132e-03, 99.42045,0.73548
  49.64900,36.02667,-8.184848e-03, 99.42045,0.73547
  49.65600,36.04000,-6.820666e-03, 99.40166,0.73547
  49.65300,36.05333,-3.118027e-03, 99.39547,0.73547
  49.64600,36.06667,-4.092434e-03, 99.39547,0.73547
  49.65600,36.08000,-4.677028e-03, 99.40805,0.73547
  49.65000,36.09333,-5.261683e-03, 99.39547,0.73547
  49.66100,36.10667,-5.456510e-03, 99.39547,0.73548
  49.65100,36.12000,-5.846310e-03, 99.39547,0.73547
  49.66400,36.13333,-4.482121e-03, 99.39547,0.73548
  49.66700,36.14667,-2.533367e-03, 99.39547,0.73548
  49.67200,36.16000,-3.507723e-03, 99.39547,0.73548
  49.64700,36.17333,-3.897553e-03, 99.40805,0.73547
  49.67100,36.18667,-5.261589e-03, 99.42045,0.73548
  49.66800,36.20000,-4.871855e-03, 99.42045,0.73548
  49.67000,36.21333,-5.261594e-03, 99.42045,0.73548
  49.67700,36.22667,-3.702581e-03, 99.43285,0.73549
  49.69400,36.24000, 1.948699e-04, 99.44544,0.73550
  49.69400,36.25333,-1.558959e-03, 99.44544,0.73550
  49.69400,36.26667,-1.753829e-03, 99.44544,0.73550
  49.70100,36.28000,-2.338425e-03, 99.45783,0.73550
  49.71600,36.29333,-1.753796e-03, 99.47023,0.73551
  49.72400,36.30667,-2.338379e-03, 99.47023,0.73552
  49.72300,36.32000,-9.743254e-04, 99.47023,0.73551
  49.73600,36.33333, 7.794517e-04, 99.45783,0.73552
  49.71700,36.34667, 2.338393e-03, 99.44112,0.73551
  49.74800,36.36000, 1.558888e-03, 99.45370,0.73553
  49.74800,36.37333,-1.558888e-03, 99.44130,0.73553
  49.75600,36.38667, 1.948596e-04, 99.44130,0.73554
  49.77500,36.40000, 2.338278e-03, 99.43492,0.73555
  49.78500,36.41333, 1.558839e-03, 99.42665,0.73555
  49.80100,36.42667, 5.066157e-03, 99.43924,0.73556
  49.82100,36.44000, 4.676373e-03, 99.41012,0.73558
  49.83200,36.45333, 7.209342e-03, 99.43078,0.73558
  49.85500,36.46667, 8.183417e-03, 99.42684,0.73560
  49.86200,36.48000, 6.429790e-03, 99.43492,0.73560
  49.86100,36.49333, 6.234953e-03, 99.44318,0.73560
  49.89600,36.50667, 8.183133e-03, 99.45370,0.73562
  49.90200,36.52000, 9.936611e-03, 99.45164,0.73563
  49.91900,36.53333, 1.539178e-02, 99.47850,0.73564
  49.94400,36.54667, 1.753457e-02, 99.45783,0.73565
  49.97200,36.56000, 1.656004e-02, 99.47643,0.73567
  49.98300,36.57333, 1.850810e-02, 99.48282,0.73568
  50.00400,36.58667, 1.909223e-02, 99.47869,0.73569
  50.03400,36.60000, 2.142951e-02, 99.49935,0.73571
  50.04800,36.61333, 2.201369e-02, 99.51194,0.73572
  50.08400,36.62667, 2.279224e-02, 99.51400,0.73574
  50.10000,36.64000, 2.493477e-02, 99.54294,0.73575
  50.13900,36.65333, 2.454435e-02, 99.54707,0.73577
  50.15300,36.66667, 2.454406e-02, 99.55759,0.73578
  50.18500,36.68000, 2.454340e-02, 99.55139,0.73580
  50.22300,36.69333, 2.999652e-02, 99.55139,0.73583
  50.24700,36.70667, 3.486538e-02, 99.54500,0.73584
  50.27700,36.72000, 3.875997e-02, 99.53072,0.73586
  50.31000,36.73333, 3.311061e-02, 99.54087,0.73588
  50.34500,36.74667, 3.603107e-02, 99.52847,0.73590
  50.39400,36.76000, 3.427679e-02, 99.50367,0.73593
  50.41400,36.77333, 3.933975e-02, 99.50762,0.73594
  50.46200,36.78667, 4.167507e-02, 99.50142,0.73597
  50.48900,36.80000, 4.011622e-02, 99.48695,0.73599
  50.53000,36.81333, 4.498313e-02, 99.48075,0.73602
  50.56400,36.82667, 4.595548e-02, 99.46610,0.73604
  50.61600,36.84000, 4.848480e-02, 99.45370,0.73607
  50.65500,36.85333, 5.724524e-02, 99.45164,0.73609
  50.70600,36.86667, 5.782701e-02, 99.44318,0.73613
  50.74500,36.88000, 5.782512e-02, 99.43304,0.73615
  50.79000,36.89333, 5.976983e-02, 99.44544,0.73618
  50.84000,36.90667, 6.151945e-02, 99.45164,0.73621
  50.89200,36.92000, 6.463153e-02, 99.43905,0.73624
  50.93900,36.93333, 6.891162e-02, 99.43510,0.73627
