#EXPORTTYPE:                 ,DATA ALL                                                                    
#FILE:                       ,dealloy_Al_12132023_MACT_A_pink_label_20Kmin_20O2_80Ar_1200C_round_3.ngb-ds3
#FORMAT:                     ,NETZSCH5                                                                    
#FTYPE:                      ,ANSI                                                                        
#IDENTITY:                   ,De_alloy_MACT_A_pk_R3                                                       
#DECIMAL:                    ,POINT                                                                       
#SEPARATOR:                  ,COMMA                                                                       
#MTYPE:                      ,DSC                                                                         
#INSTRUMENT:                 ,NETZSCH STA 449F3                                                           
#PROJECT:                    ,nano-Al                                                                     
#DATE/TIME:                  ,12/13/2023 4:52:31 PM (UTC-5)                                               
#CORR. FILE:                 ,BL_11012023_20Kmin_1200C_10O2_40Ar.ngb-bs3                                  
#TEMPCAL:                    ,03-05-2023 11:25                                                            
#SENSITIVITY:                ,03-05-2023 11:53                                                            
#LABORATORY:                 ,calorimetry lab                                                             
#OPERATOR:                   ,YP                                                                          
#REMARK:                     ,dealloy_Al_12132023_MACT_A_pink_label_20Kmin_20O2_80Ar_1200C_round_3        
#SAMPLE:                     ,De_alloy_MACT_A_pk_R3                                                       
#SAMPLE MASS /mg:            ,5.6368                                                                      
#MATERIAL:                   ,mt                                                                          
#REFERENCE:                  ,empty                                                                       
#REFERENCE MASS /mg:         ,0                                                                           
#TYPE OF CRUCIBLE:           ,Al2O3 85 µl, with lid                                                       
#SAMPLE CRUCIBLE MASS /mg:   ,0                                                                           
#REFERENCE CRUCIBLE MASS /mg:,0                                                                           
#DSC RANGE /µV:              ,5000                                                                        
#TG RANGE /mg:               ,35000                                                                       
#TAU-R:                      ,---                                                                         
#CORR. CODE:                 ,020                                                                         
#EXO:                        ,+1                                                                          
#RANGE:                      ,50°C/20.0(K/min)/1200°C                                                     
#SEGMENT:                    ,S3/3                                                                        
#SEG. 3:                     ,50°C/20.0(K/min)/1200°C                                                     

##Temp./°C,Time/min,DSC/(mW/mg),Mass/%,Sensit./(uV/mW)
  49.62800,36.01333,-3.791127e-02, 99.26040,0.73546
  49.62600,36.02667,-3.754326e-02, 99.26040,0.73545
  49.62500,36.04000,-3.570293e-02, 99.24266,0.73545
  49.62400,36.05333,-3.404664e-02, 99.23680,0.73545
  49.62200,36.06667,-3.386266e-02, 99.23680,0.73545
  49.61400,36.08000,-3.312674e-02, 99.23095,0.73545
  49.61400,36.09333,-3.294270e-02, 99.21321,0.73545
  49.63500,36.10667,-3.404632e-02, 99.21321,0.73546
  49.64100,36.12000,-3.294195e-02, 99.21321,0.73546
  49.62900,36.13333,-3.404650e-02, 99.21321,0.73546
  49.64200,36.14667,-3.110159e-02, 99.21321,0.73546
  49.64600,36.16000,-3.036535e-02, 99.21321,0.73547
  49.64500,36.17333,-3.091748e-02, 99.22509,0.73547
  49.63700,36.18667,-3.238996e-02, 99.23680,0.73546
  49.65300,36.20000,-3.238952e-02, 99.23680,0.73547
  49.64400,36.21333,-3.146960e-02, 99.23680,0.73547
  49.65900,36.22667,-3.073308e-02, 99.23680,0.73547
  49.66200,36.24000,-2.797255e-02, 99.23680,0.73548
  49.67300,36.25333,-2.999660e-02, 99.23680,0.73548
  49.67200,36.26667,-3.073274e-02, 99.23680,0.73548
  49.68600,36.28000,-2.944419e-02, 99.23680,0.73549
  49.69400,36.29333,-2.925997e-02, 99.23680,0.73550
  49.69600,36.30667,-3.073212e-02, 99.23680,0.73550
  49.69700,36.32000,-2.870782e-02, 99.25436,0.73550
  49.71300,36.33333,-2.705123e-02, 99.25046,0.73551
  49.71200,36.34667,-2.539506e-02, 99.24070,0.73551
  49.71700,36.36000,-2.631505e-02, 99.26217,0.73551
  49.72200,36.37333,-2.797113e-02, 99.23875,0.73551
  49.73300,36.38667,-2.465853e-02, 99.26625,0.73552
  49.75100,36.40000,-2.484217e-02, 99.26022,0.73553
  49.75400,36.41333,-2.281793e-02, 99.25241,0.73553
  49.76500,36.42667,-2.171364e-02, 99.26430,0.73554
  49.79400,36.44000,-2.152909e-02, 99.23680,0.73556
  49.79500,36.45333,-1.784889e-02, 99.25436,0.73556
  49.80700,36.46667,-1.269650e-02, 99.25064,0.73557
  49.82200,36.48000,-1.472040e-02, 99.24461,0.73558
  49.84300,36.49333,-1.582415e-02, 99.26998,0.73559
  49.85900,36.50667,-1.471994e-02, 99.27015,0.73560
  49.87300,36.52000,-1.361578e-02, 99.27406,0.73561
  49.89500,36.53333,-8.831692e-03, 99.28186,0.73562
  49.90800,36.54667,-7.911637e-03, 99.27601,0.73563
  49.92500,36.56000,-6.255623e-03, 99.29943,0.73564
  49.96400,36.57333,-4.047622e-03, 99.29375,0.73567
  49.98000,36.58667,-5.519410e-04, 99.28967,0.73568
  49.99500,36.60000, 1.103868e-03, 99.29180,0.73568
  50.02200,36.61333, 2.575633e-03, 99.29180,0.73570
  50.04500,36.62667, 5.703077e-03, 99.28967,0.73572
  50.08700,36.64000, 6.806656e-03, 99.30741,0.73574
  50.10400,36.65333, 7.726364e-03, 99.31131,0.73575
  50.12600,36.66667, 9.381839e-03, 99.32107,0.73577
  50.14800,36.68000, 1.066934e-02, 99.31326,0.73578
  50.18500,36.69333, 1.416403e-02, 99.32107,0.73580
  50.21900,36.70667, 1.747460e-02, 99.31521,0.73582
  50.23300,36.72000, 1.821016e-02, 99.32710,0.73583
  50.28000,36.73333, 1.894517e-02, 99.32497,0.73586
  50.29400,36.74667, 2.207178e-02, 99.30741,0.73587
  50.34400,36.76000, 2.648502e-02, 99.30155,0.73590
  50.38400,36.77333, 3.126598e-02, 99.28772,0.73593
  50.40200,36.78667, 3.126551e-02, 99.27991,0.73594
  50.44700,36.80000, 3.402294e-02, 99.29162,0.73597
  50.49300,36.81333, 3.751573e-02, 99.27015,0.73599
  50.53300,36.82667, 4.119236e-02, 99.25241,0.73602
  50.57100,36.84000, 4.450103e-02, 99.26607,0.73604
  50.61400,36.85333, 5.222246e-02, 99.27796,0.73607
  50.66100,36.86667, 5.387539e-02, 99.29552,0.73610
  50.70400,36.88000, 5.497665e-02, 99.32125,0.73612
  50.76200,36.89333, 5.570940e-02, 99.34662,0.73616
  50.80000,36.90667, 5.773001e-02, 99.35052,0.73618
  50.85700,36.92000, 6.434564e-02, 99.32887,0.73622
  50.90500,36.93333, 6.838746e-02, 99.30546,0.73625
  50.94600,36.94667, 7.003958e-02, 99.30351,0.73627
  50.99900,36.96000, 7.187458e-02, 99.27015,0.73631
  51.06600,36.97333, 7.462773e-02, 99.24266,0.73635
  51.11400,36.98667, 7.921984e-02, 99.21516,0.73638
  51.15900,37.00000, 8.528219e-02, 99.18766,0.73641
  51.22700,37.01333, 8.270431e-02, 99.15236,0.73645
  51.28900,37.02667, 8.784580e-02, 99.12894,0.73649
  51.34100,37.04000, 9.794932e-02, 99.11120,0.73652
  51.39700,37.05333, 9.537208e-02, 99.09151,0.73655
  51.47200,37.06667,      0.10198, 99.09754,0.73660
  51.53600,37.08000,      0.10381, 99.11315,0.73664
  51.59200,37.09333,      0.10859, 99.12096,0.73667
  51.66400,37.10667,      0.11280, 99.13674,0.73672
  51.72800,37.12000,      0.11482, 99.17010,0.73676
  51.79200,37.13333,      0.12088, 99.19759,0.73679
  51.86100,37.14667,      0.12417, 99.19759,0.73684
  51.92700,37.16000,      0.12894, 99.21125,0.73688
  52.01400,37.17333,      0.13095, 99.21906,0.73693
  52.07100,37.18667,      0.13848, 99.22900,0.73697
  52.14700,37.20000,      0.14159, 99.22509,0.73701
  52.22600,37.21333,      0.14617, 99.23272,0.73706
  52.29900,37.22667,      0.15094, 99.22491,0.73711
  52.37000,37.24000,      0.15221, 99.23290,0.73715
  52.47000,37.25333,      0.15441, 99.22101,0.73721
  52.54200,37.26667,      0.16394, 99.22296,0.73725
  52.62600,37.28000,      0.16577, 99.24851,0.73730
  52.69800,37.29333,      0.16906, 99.26430,0.73735
  52.80200,37.30667,      0.17088, 99.25844,0.73741
